pointid,grid_code
1567,0.0000017
1568,7.1999998
1569,10.0831003
1570,8.2832003
1571,4.5936198
1572,2.4455600
1573,1.2918900
1574,0.7066670
1575,0.6036170
1576,0.3303170
1577,0.1803170
1578,0.0950287
1579,0.0518287
1580,0.0465787
1581,0.0254287
1582,0.0141191
1583,0.0079691
1584,0.0043691
1585,0.0040691
1586,0.0022624
1587,0.0012124
1588,0.0006124
1589,0.0003124
1590,0.0001797
1591,0.0001679
1592,0.0001611
1593,0.0000072
1594,0.0000301
1595,0.0000164
1596,0.0000156
1597,0.0000078
1598,0.0000042
1599,0.0000022
1600,0.0000014
1601,0.0000014
1602,14.3999996
1603,9.4279203
1604,7.6669998
1605,4.3892102
1606,2.4976799
1607,1.4030401
1608,0.7817500
1609,0.6713500
1610,0.3716500
1611,0.2045500
1612,0.1093620
1613,0.0612115
1614,0.0550615
1615,0.0307615
1616,0.0170134
1617,0.0095134
1618,0.0051634
1619,0.0048634
1620,0.0027567
1621,0.0015567
1622,0.0008067
1623,0.0005067
1624,0.0001834
1625,0.0001700
1626,0.0001623
1627,0.0000078
1628,0.0000378
1629,0.0000204
1630,0.0000196
1631,0.0000098
1632,0.0000052
1633,0.0000028
1634,0.0000015
1635,0.0000015
1636,14.3999996
1637,8.7319603
1638,6.9767499
1639,4.1033101
1640,2.3914900
1641,1.3764700
1642,0.7796500
1643,0.6662500
1644,0.3727000
1645,0.2117500
1646,0.1182120
1647,0.0664615
1648,0.0598615
1649,0.0334615
1650,0.0186634
1651,0.0102634
1652,0.0057634
1653,0.0053134
1654,0.0030567
1655,0.0017067
1656,0.0008067
1657,0.0005067
1658,0.0001866
1659,0.0001718
1660,0.0001633
1661,0.0000084
1662,0.0000056
